ID;Animal;Halsband Nummer klein;Halsband Nummer gross;Ohr-marken Nummer;VHF-Frequenz;Drop-off Number;Sex;Name;Fang Datum&Zeit;Start Manipulation;Ende Manipulation;Manipulation;Freilassung Datum&Zeit;Halsband weg Datum&Zeit;Tage am Sender;Bemerkung;Falle;Schuss Betäubung;Zeit Tier liegt;Betäubung;Dosierung Zoletil (mg/kg);Lochnummer;Halsumfang;Gewicht;Hinterlauf;Kondition;Battery Pack;Halsband Gewicht ;Rotte;Alter Monate;Bemerkungen;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;WS001;12272;1;1;148.100;02100;m;Ueli_1;28.05.2014 21:28;28.05.2014 22:02;28.05.2014 22:18;00:16:00;28.05.2014 23:30;03.07.2014 03:30;35.17;abgestreift;Fritzenburg;28.05.2014 21:46;28.05.2014 21:52;ja;4.40;9;68;79.5;31;2.56;3D;1000;einzelgänger;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;WS002;12275;2;2;148.160;02106;f;Sabine;22.08.2014 20:25;22.08.2014 23:05;22.08.2014 23:25;00:20:00;23.08.2014 01:03;27.07.2015 11:45;338.45;drop-off;Fritzenburg;22.08.2014 22:55;22.08.2014 23:00;ja;6.45;3;60;62;30;2.07;3D;1000;1 adult, 2 gestreifte;>24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;WS005;12273;3;5;148.120;02059;f;Nicole;09.09.2014 21:35;09.09.2014 22:30;09.09.2014 22:44;00:14:00;10.09.2014 03:10;30.01.2015 20:00;142.70;erlegt;Bahn;09.09.2014 22:22;09.09.2014 22:24;ja;5.25;6;57;50;28;1.79;2D;800;1 überläufer, 4 gestreifte;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;WS010;13969;5 / 10;10;148.620;02722;f;Caroline_1;12.09.2014 21:00;12.09.2014 22:12;12.09.2014 22:30;00:18:00;13.09.2014 01:00;16.04.2015 23:00;215.92;gewechselt;Fritzenburg;12.09.2014 22:06;12.09.2014 22:08;ja;4.31;5;67;58;27;2.15;3D;1000;Grossrotte;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;WS011;12274;10;11;148.140;02057;f;Isabelle;22.10.2014 02:30;22.10.2014 05:32;22.10.2014 05:50;00:18:00;22.10.2014 05:50;19.02.2015 14:45;120.37;drop-off;Fritzenburg;;;nein;;3;49.5;26;;;2D;800;Grossrotte;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;WS015;13971;7;15 / 14;148.660;02723;m;Hans;05.11.2014 22:25;06.11.2014 08:55;06.11.2014 09:41;00:46:00;06.11.2014 11:08;12.02.2016 23:30;463.52;erlegt;Grien;06.11.2014 08:24;06.11.2014 08:47;ja;8.40;9;73;83;30;2.77;3D;1000;Grossrotte;>24;Nachdosierung Zoletil nötig;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;WS016;13972;8;16;148.680;02719;f;Rosa;07.11.2014 03:31;07.11.2014 08:19;07.11.2014 08:40;00:21:00;07.11.2014 10:50;29.06.2015 18:15;234.31;abgestreift;Fritzenburg;07.11.2014 07:46;07.11.2014 08:18;ja;5.81;3;80;86;29;2.97;3D;1000;Grossrotte;>24;Nachdosierung Zoletil nötig;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;WS018;13974;4;18;148.740;02727;f;Ruth;07.11.2014 18:35;07.11.2014 19:59;07.11.2014 20:16;00:17:00;07.11.2014 20:16;27.07.2015 10:45;261.60;drop-off;Bahn;;;nein;;8;58;43;;;2D;800;Grossrotte;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;WS025;12272;1;25;148.100;02100;m;Fritz;01.12.2014 21:05;01.12.2014 22:14;01.12.2014 22:27;00:13:00;02.12.2014 01:00;27.02.2015 12:00;87.46;erlegt;Fritzenburg;01.12.2014 21:47;01.12.2014 21:51;ja;7.69;10;70;65;28;2.32;3D;1000;einzelgänger;12;Nachdosierung Zoletil nötig;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;WS027;13970;6;27;148.640;02725;f;Agathe_1;09.12.2014 21:05;10.12.2014 00:48;10.12.2014 01:00;00:12:00;10.12.2014 03:57;03.02.2015 23:00;55.79;abgestreift;Grien;10.12.2014 00:20;10.12.2014 00:34;ja;6.87;9;59;40;26;1.54;2D;800;Grossrotte, 2 bachen adult, 4 roothaarige, 1 Keiler (Hans);8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;WS029;13975;11;29;148.760;02726;m;Tinu;15.03.2015 04:45;15.03.2015 08:30;15.03.2015 08:45;00:15:00;15.03.2015 08:45;22.05.2015 11:00;68.09;drop-off;Bränngarte;;;nein;;9;58;42;27;1.56;2D;800;Grossrotte;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;WS010;13973;9;10;148.700;02720;f;Caroline_2;16.04.2015 21:35;16.04.2015 22:55;16.04.2015 23:15;00:20:00;16.04.2015 22:37;29.02.2016 23:45;319.05;gewechselt;Fritzenburg;;;nein;;5;64;71;27;2.63;3D;1000;Grossrotte;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
